system   D            wsystem.c:583  maybe_parent_dir                 [   0.00132] Also searching C:\Users\Maroofshahani\Desktop\AllegroProj\
display  D   display_settings.c:191  debug_display_settings           [   0.09642] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09649] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09655] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09662] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09667] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09674] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09679] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09685] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09690] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09696] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09702] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09708] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09713] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09719] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09725] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09731] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09736] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09742] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09748] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09754] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09763] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09770] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09775] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
